movie_title,movie_year,runtime,genre,rating,director,votes,gross_earning
The Skeleton Key,2005,104,"Drama, Horror, Mystery",6.5,Iain Softley,118968,47810000
Better Watch Out II,2016,89,"Comedy, Horror, Thriller",6.5,Chris Peckover,42119,20000
The Exorcist III,1990,110,"Drama, Horror, Mystery",6.5,William Peter Blatty,34521,26100000
The Witches of Eastwick,1987,118,"Comedy, Fantasy, Horror",6.5,George Miller,73547,63770000
Halloween II,1981,92,Horror,6.5,Rick Rosenthal,96004,25530000
Flatliners,1990,115,"Drama, Horror, Sci-Fi",6.5,Joel Schumacher,90146,61490000
Dead End I,2003,85,"Adventure, Horror, Mystery",6.5,Jean-Baptiste Andrea,30416,
Byzantium,2012,118,"Drama, Fantasy, Horror",6.5,Neil Jordan,44832,80000
Time Lapse,2014,104,"Horror, Mystery, Sci-Fi",6.5,Bradley King,47416,
Bad Taste,1987,91,"Comedy, Horror, Sci-Fi",6.5,Peter Jackson,48108,
Pontypool,2008,93,"Horror, Sci-Fi",6.5,Bruce McDonald,33734,
[Rec]²,2009,85,"Horror, Thriller",6.5,Jaume Balagueró,75857,30000
Sightseers,2012,88,"Adventure, Comedy, Crime",6.5,Ben Wheatley,29544,40000
Renfield,2023,93,"Comedy, Fantasy, Horror",6.4,Chris McKay,47540,
M3GAN,2022,102,"Horror, Sci-Fi, Thriller",6.4,Gerard Johnstone,106598,93880000
Alien: Covenant,2017,122,"Horror, Sci-Fi, Thriller",6.4,Ridley Scott,290465,74260000
Escape Room I,2019,99,"Action, Adventure, Horror",6.4,Adam Robitel,131872,57010000
Friday the 13th,1980,95,"Horror, Mystery, Thriller",6.4,Sean S. Cunningham,146665,39750000
The Craft,1996,101,"Drama, Fantasy, Horror",6.4,Andrew Fleming,99986,24880000
The Hills Have Eyes,2006,107,"Horror, Thriller",6.4,Alexandre Aja,177032,41780000
Alien³,1992,114,"Action, Horror, Sci-Fi",6.4,David Fincher,308197,55470000
A Cure for Wellness,2016,146,"Drama, Fantasy, Horror",6.4,Gore Verbinski,104306,8110000
The Cell,2000,107,"Crime, Horror, Sci-Fi",6.4,Tarsem Singh,105734,61330000
Revenge II,2017,108,"Action, Drama, Horror",6.4,Coralie Fargeat,45825,100000
Fright Night,2011,106,"Comedy, Horror",6.4,Craig Gillespie,109829,18300000
Twilight Zone: The Movie,1983,101,"Horror, Sci-Fi",6.4,Joe Dante,39519,29500000
Incident in a Ghostland,2018,91,"Drama, Horror, Mystery",6.4,Pascal Laugier,35958,
The Purge: Anarchy,2014,103,"Action, Horror, Sci-Fi",6.4,James DeMonaco,156986,71960000
Gremlins 2: The New Batch,1990,106,"Comedy, Fantasy, Horror",6.4,Joe Dante,108188,41480000
Black Death,2010,102,"Action, Drama, History",6.4,Christopher Smith,49744,20000
The People Under the Stairs,1991,102,"Comedy, Horror, Mystery",6.4,Wes Craven,37305,24200000
Horns,2013,120,"Comedy, Crime, Drama",6.4,Alexandre Aja,85762,160000
The Serpent and the Rainbow,1988,98,"Fantasy, Horror",6.4,Wes Craven,26707,19600000
Tale of Tales,2015,134,"Drama, Fantasy, Horror",6.4,Matteo Garrone,29867,80000
Daybreakers,2009,98,"Action, Horror, Sci-Fi",6.4,Michael Spierig,131778,30100000
The Woman in Black,2012,95,"Drama, Fantasy, Horror",6.4,James Watkins,187998,54330000
Silver Bullet,1985,95,Horror,6.4,Daniel Attias,29605,5400000
Sputnik,2020,113,"Drama, Horror, Mystery",6.4,Egor Abramenko,25687,
Kill List,2011,95,"Action, Crime, Horror",6.4,Ben Wheatley,42875,30000
New Nightmare,1994,112,"Fantasy, Horror, Mystery",6.4,Wes Craven,61174,18090000
Repo! The Genetic Opera,2008,98,"Horror, Musical, Sci-Fi",6.4,Darren Lynn Bousman,25810,140000
The Mothman Prophecies,2002,119,"Drama, Horror, Mystery",6.4,Mark Pellington,82494,35750000
Session 9,2001,97,"Drama, Horror, Mystery",6.4,Brad Anderson,60761,380000
Unsane,2018,98,"Drama, Horror, Mystery",6.4,Steven Soderbergh,48245,7730000
Creep 2,2017,78,"Crime, Drama, Horror",6.4,Patrick Brice,29300,
Hellbound: Hellraiser II,1988,97,"Horror, Thriller",6.4,Tony Randel,53253,11090000
The Awakening I,2011,102,"Drama, Horror, Mystery",6.4,Nick Murphy,67806,
Ghost Stories I,2017,98,"Drama, Horror",6.4,Jeremy Dyson,35682,140000
The Prophecy,1995,98,"Action, Crime, Drama",6.4,Gregory Widen,32198,16120000
Severance,2006,96,"Comedy, Horror",6.4,Christopher Smith,39807,140000
Them,2006,77,"Horror, Thriller",6.4,David Moreau,31377,
Stake Land,2010,98,"Drama, Horror, Sci-Fi",6.4,Jim Mickle,43421,20000
Night Watch,2004,114,"Action, Fantasy, Horror",6.4,Timur Bekmambetov,54703,1490000
Resident Evil: Degeneration,2008,98,"Animation, Action, Horror",6.4,Makoto Kamiya,32199,
Day Watch,2006,132,"Action, Fantasy, Horror",6.4,Timur Bekmambetov,34927,450000
Scream I,2022,114,"Horror, Mystery, Thriller",6.3,Matt Bettinelli-Olpin,138199,81640000
Under the Skin I,2013,108,"Drama, Horror, Mystery",6.3,Jonathan Glazer,149804,2610000
Watcher I,2022,96,"Drama, Horror, Thriller",6.3,Chloe Okuno,32756,
Scream 2,1997,120,"Horror, Mystery",6.3,Wes Craven,197955,101360000
The Babysitter I,2017,85,"Comedy, Horror",6.3,McG,100574,
The Ritual I,2017,94,"Horror, Mystery, Thriller",6.3,David Bruckner,108985,
Lights Out II,2016,81,"Horror, Mystery",6.3,David F. Sandberg,135897,67270000
The Conjuring: The Devil Made Me Do It,2021,112,"Horror, Mystery, Thriller",6.3,Michael Chaves,125072,65630000
Scouts Guide to the Zombie Apocalypse,2015,93,"Action, Comedy, Horror",6.3,Christopher Landon,52616,3640000
Freaky,2020,102,"Comedy, Horror, Thriller",6.3,Christopher Landon,65509,
Lamb,2021,106,"Drama, Fantasy, Horror",6.3,Valdimar Jóhannsson,32600,
The Shallows,2016,86,"Action, Drama, Horror",6.3,Jaume Collet-Serra,138096,55120000
Paranormal Activity,2007,86,"Horror, Mystery",6.3,Oren Peli,247532,107920000
Creep I,2014,77,"Horror, Thriller",6.3,Patrick Brice,60918,
Devil,2010,80,"Horror, Mystery, Thriller",6.3,John Erick Dowdle,151728,33580000
Goosebumps,2015,103,"Adventure, Comedy, Fantasy",6.3,Rob Letterman,91906,80080000
Cargo I,2017,105,"Drama, Horror, Sci-Fi",6.3,Ben Howling,45890,
Predator 2,1990,108,"Action, Horror, Sci-Fi",6.3,Stephen Hopkins,174998,30670000
The Collector I,2009,90,"Action, Horror, Thriller",6.3,Marcus Dunstan,68646,7710000
Haunt I,2019,92,"Horror, Thriller",6.3,Scott Beck,32410,
Hotel Transylvania 3: Summer Vacation,2018,97,"Animation, Adventure, Comedy",6.3,Genndy Tartakovsky,79162,167510000
#Alive,2020,98,"Action, Drama, Horror",6.3,Il Cho,43683,
Apostle,2018,130,"Drama, Fantasy, Horror",6.3,Gareth Evans,55806,
The Hills Have Eyes,1977,90,"Horror, Thriller",6.3,Wes Craven,37196,25000000
Lake Mungo,2008,87,"Drama, Horror, Mystery",6.3,Joel Anderson,25556,
Dark Skies,2013,97,"Horror, Sci-Fi, Thriller",6.3,Scott Stewart,77749,17410000
The House of the Devil,2009,95,"Horror, Mystery",6.3,Ti West,49019,100000
Frankenstein,1994,123,"Drama, Horror, Romance",6.3,Kenneth Branagh,57239,22010000
The Voices,2014,103,"Comedy, Crime, Horror",6.3,Marjane Satrapi,59828,
Berlin Syndrome,2017,116,"Drama, Horror, Mystery",6.3,Cate Shortland,26480,30000
The Uninvited,2009,87,"Drama, Fantasy, Horror",6.3,Charles Guard,82545,28570000
Cat's Eye,1985,94,"Comedy, Horror, Thriller",6.3,Lewis Teague,26850,13090000
Underworld: Awakening,2012,88,"Action, Fantasy, Horror",6.3,Måns Mårlind,157941,62320000
The Vanishing,1993,109,"Drama, Horror, Mystery",6.3,George Sluizer,26987,14540000
Mindhunters,2004,106,"Crime, Horror, Thriller",6.3,Renny Harlin,62706,4480000
The Bar,2017,102,"Horror, Thriller",6.3,Álex de la Iglesia,28011,
The Blob,1958,86,"Horror, Sci-Fi",6.3,Irvin S. Yeaworth Jr.,27852,
Screamers,1995,108,"Horror, Sci-Fi, Thriller",6.3,Christian Duguay,28447,5780000
Dead Snow,2009,91,"Comedy, Fantasy, Horror",6.3,Tommy Wirkola,68631,40000
13 Sins,2014,93,"Horror, Thriller",6.3,Daniel Stamm,37811,10000
Tideland,2005,120,"Drama, Fantasy, Horror",6.3,Terry Gilliam,34068,70000
John Dies at the End,2012,99,"Comedy, Fantasy, Horror",6.3,Don Coscarelli,39473,140000
Bodies Bodies Bodies,2022,94,"Comedy, Horror, Thriller",6.2,Halina Reijn,51654,
Scream 4,2011,111,"Comedy, Horror, Mystery",6.2,Wes Craven,162144,38180000
Malignant I,2021,111,"Crime, Horror, Mystery",6.2,James Wan,98740,
The Empty Man,2020,137,"Drama, Horror, Mystery",6.2,David Prior,33524,
I Spit on Your Grave,2010,108,"Horror, Thriller",6.2,Steven R. Monroe,88102,90000
The Visit I,2015,94,"Horror, Mystery, Thriller",6.2,M. Night Shyamalan,142097,65210000
Jeepers Creepers,2001,90,"Horror, Mystery",6.2,Victor Salva,135446,37900000
The Thing I,2011,103,"Horror, Mystery, Sci-Fi",6.2,Matthijs van Heijningen Jr.,139897,16930000
Mama I,2013,100,"Fantasy, Horror, Thriller",6.2,Andy Muschietti,186159,71630000
"As Above, So Below",2014,93,"Horror, Mystery, Thriller",6.2,John Erick Dowdle,101124,21200000
Synchronic,2019,102,"Drama, Horror, Mystery",6.2,Justin Benson,35972,
Wolf Creek,2005,99,"Horror, Thriller",6.2,Greg McLean,75604,16190000
Dark Shadows,2012,113,"Comedy, Fantasy, Horror",6.2,Tim Burton,273371,79730000
Alien: Resurrection,1997,109,"Action, Horror, Sci-Fi",6.2,Jean-Pierre Jeunet,254632,47750000
Sleepaway Camp,1983,84,Horror,6.2,Robert Hiltzik,35167,11000000
1922,2017,102,"Crime, Drama, Horror",6.2,Zak Hilditch,67579,
Dracula Untold,2014,92,"Action, Drama, Fantasy",6.2,Gary Shore,201494,56280000
Final Destination 2,2003,90,"Horror, Thriller",6.2,David R. Ellis,174051,46960000
The Texas Chainsaw Massacre,2003,98,"Crime, Horror",6.2,Marcus Nispel,147172,80570000
Fear Street: Part One - 1994,2021,107,"Drama, Horror, Mystery",6.2,Leigh Janiak,86732,
Scary Stories to Tell in the Dark,2019,108,"Adventure, Horror, Mystery",6.2,André Øvredal,80434,68950000
Color Out of Space,2019,111,"Horror, Mystery, Sci-Fi",6.2,Richard Stanley,52020,
Deliver Us from Evil I,2014,118,"Action, Adventure, Crime",6.2,Scott Derrickson,81017,30580000
It Comes at Night,2017,91,"Drama, Horror, Mystery",6.2,Trey Edward Shults,98054,13990000
Verónica I,2017,105,Horror,6.2,Paco Plaza,44074,
Case 39,2009,109,"Horror, Mystery, Thriller",6.2,Christian Alvart,90324,13250000
Ouija: Origin of Evil,2016,99,"Drama, Horror, Mystery",6.2,Mike Flanagan,68575,35140000
The Toxic Avenger,1984,82,"Action, Comedy, Horror",6.2,Michael Herz,30117,
Killer Klowns from Outer Space,1988,88,"Comedy, Horror, Sci-Fi",6.2,Stephen Chiodo,41538,15630000
Feast,2005,95,"Action, Comedy, Horror",6.2,John Gulager,32911,50000
Rogue,2007,99,"Action, Drama, Horror",6.2,Greg McLean,32128,10000
Resident Evil: Extinction,2007,94,"Action, Horror, Sci-Fi",6.2,Russell Mulcahy,200494,50650000
Idle Hands,1999,92,"Comedy, Fantasy, Horror",6.2,Rodman Flender,45083,4000000
The Perfection,2018,90,"Drama, Horror, Music",6.2,Richard Shepard,46777,
Saw III,2006,108,"Horror, Mystery, Thriller",6.2,Darren Lynn Bousman,199970,80240000
American Mary,2012,103,"Drama, Horror",6.2,Jen Soska,26866,
Before I Wake,2016,97,"Drama, Fantasy, Horror",6.2,Mike Flanagan,49193,
Vacancy,2007,85,"Horror, Thriller",6.2,Nimród Antal,104096,19360000
Wolf,1994,125,"Drama, Horror, Romance",6.2,Mike Nichols,58267,65010000
Land of the Dead,2005,93,"Horror, Sci-Fi, Thriller",6.2,George A. Romero,98740,20700000
Frontier(s),2007,108,Horror,6.2,Xavier Gens,27825,
Stigmata,1999,103,"Horror, Mystery",6.2,Rupert Wainwright,70383,50050000
Happy Death Day 2U,2019,100,"Comedy, Horror, Mystery",6.2,Christopher Landon,79669,28150000
Damien: Omen II,1978,107,Horror,6.2,Don Taylor,33729,3880000
Pumpkinhead,1988,86,"Fantasy, Horror",6.2,Stan Winston,25833,4390000
Krampus I,2015,98,"Comedy, Drama, Fantasy",6.2,Michael Dougherty,79013,42590000
Needful Things,1993,120,"Crime, Drama, Fantasy",6.2,Fraser C. Heston,26291,15190000
Open Grave,2013,102,"Horror, Mystery, Sci-Fi",6.2,Gonzalo López-Gallego,30633,
The Pope's Exorcist,2023,103,"Horror, Thriller",6.1,Julius Avery,39847,
Knock at the Cabin,2023,100,"Horror, Mystery, Thriller",6.1,M. Night Shyamalan,79345,
Terrifier 2,2022,138,Horror,6.1,Damien Leone,36262,
Infinity Pool,2023,117,"Crime, Horror, Mystery",6.1,Brandon Cronenberg,31699,
Men,2022,100,"Drama, Fantasy, Horror",6.1,Alex Garland,51808,
We Have a Ghost,2023,126,"Adventure, Comedy, Family",6.1,Christopher Landon,26782,
Wrong Turn I,2003,84,"Horror, Thriller",6.1,Rob Schmidt,125830,15420000
Lifeforce,1985,101,"Action, Horror, Mystery",6.1,Tobe Hooper,27500,11600000
The Neon Demon,2016,117,"Horror, Thriller",6.1,Nicolas Winding Refn,99889,1330000
Brightburn,2019,90,"Drama, Horror, Mystery",6.1,David Yarovesky,102749,17300000
The Strangers,2008,86,"Horror, Mystery, Thriller",6.1,Bryan Bertino,136286,52600000
Day Shift,2022,113,"Action, Comedy, Fantasy",6.1,J.J. Perry,83554,
Insidious: Chapter 3,2015,97,"Horror, Mystery, Thriller",6.1,Leigh Whannell,109420,52220000
Friday the 13th Part 2,1981,87,"Horror, Mystery, Thriller",6.1,Steve Miner,72452,21720000
Crawl I,2019,87,"Action, Adventure, Horror",6.1,Alexandre Aja,88669,39010000
Hansel & Gretel: Witch Hunters,2013,88,"Action, Fantasy, Horror",6.1,Tommy Wirkola,211488,55700000
Blood Red Sky,2021,121,"Action, Adventure, Drama",6.1,Peter Thorwarth,51766,
Resident Evil: Apocalypse,2004,94,"Action, Horror, Sci-Fi",6.1,Alexander Witt,204741,51200000
Maniac,2012,89,"Horror, Thriller",6.1,Franck Khalfoun,39045,20000
The Oxford Murders,2008,108,"Crime, Horror, Mystery",6.1,Álex de la Iglesia,29932,
The Belko Experiment,2016,89,"Horror, Thriller",6.1,Greg McLean,54266,10160000
Dead Silence,2007,89,"Horror, Mystery, Thriller",6.1,James Wan,98073,16810000
Mirrors I,2008,110,"Horror, Mystery",6.1,Alexandre Aja,110546,30690000
The Amityville Horror,1979,117,Horror,6.1,Stuart Rosenberg,41808,86430000
Critters,1986,86,"Comedy, Horror, Sci-Fi",6.1,Stephen Herek,37388,13170000
Deep Rising,1998,106,"Action, Adventure, Horror",6.1,Stephen Sommers,39064,11200000
Grave Encounters,2011,92,"Horror, Mystery",6.1,Colin Minihan,60845,
Vampires,1998,108,"Action, Horror, Thriller",6.1,John Carpenter,61502,20240000
House,1985,93,"Comedy, Fantasy, Horror",6.1,Steve Miner,28520,19440000
Cujo,1983,93,"Horror, Thriller",6.1,Lewis Teague,48166,21200000
The Collection II,2012,82,"Action, Adventure, Horror",6.1,Marcus Dunstan,51960,12840000
Red State,2011,88,"Action, Crime, Horror",6.1,Kevin Smith,65843,1100000
Splinter I,2008,82,"Crime, Horror, Sci-Fi",6.1,Toby Wilkins,39450,
Bug,2006,102,"Drama, Horror, Thriller",6.1,William Friedkin,36331,7010000
Solomon Kane,2009,104,"Action, Adventure, Fantasy",6.1,M.J. Bassett,74932,
Hobo with a Shotgun,2011,86,"Action, Comedy, Horror",6.1,Jason Eisener,47548,700000
Hellraiser,2022,121,"Horror, Mystery, Thriller",6,David Bruckner,42407,
Don't Breathe 2,2021,98,"Action, Crime, Horror",6,Rodo Sayagues,63822,32640000
The Woman I,2011,101,"Drama, Horror, Thriller",6,Lucky McKee,25113,
Mr. Harrigan's Phone,2022,104,"Drama, Horror, Mystery",6,John Lee Hancock,34530,
The Lodge,2019,108,"Drama, Horror, Mystery",6,Severin Fiala,51924,
Hotel Transylvania: Transformania,2022,87,"Animation, Adventure, Comedy",6,Derek Drymon,34432,
6 Souls,2010,112,"Horror, Thriller",6,Måns Mårlind,35364,
House of 1000 Corpses,2003,89,Horror,6,Rob Zombie,89420,12630000
Halloween,2007,109,Horror,6,Rob Zombie,125977,58270000
The Taking of Deborah Logan,2014,90,"Horror, Mystery, Thriller",6,Adam Robitel,35691,
The Boy,2016,97,"Horror, Mystery, Thriller",6,William Brent Bell,97224,35820000
Friday the 13th: The Final Chapter,1984,91,"Horror, Thriller",6,Joseph Zito,55244,32980000
The Midnight Meat Train,2008,100,"Horror, Mystery, Thriller",6,Ryûhei Kitamura,67602,80000
The Purge: Election Year,2016,108,"Action, Horror, Sci-Fi",6,James DeMonaco,105370,79210000
Circle II,2015,87,"Drama, Horror, Mystery",6,Aaron Hann,61323,
Unfriended: Dark Web,2018,92,"Horror, Mystery, Thriller",6,Stephen Susco,35242,8780000
Mimic,1997,105,"Horror, Sci-Fi",6,Guillermo del Toro,53560,25480000
Friday the 13th Part VI: Jason Lives,1986,86,"Horror, Thriller",6,Tom McLoughlin,47804,19470000
Captive State,2019,109,"Action, Horror, Sci-Fi",6,Rupert Wyatt,55880,5960000
Saw VI,2009,90,"Horror, Mystery, Thriller",6,Kevin Greutert,116425,27690000
Creepshow 2,1987,92,"Fantasy, Horror",6,Michael Gornick,27039,14000000
The Rite,2011,114,"Drama, Horror, Mystery",6,Mikael Håfström,100541,33050000
Firestarter,1984,114,"Action, Horror, Sci-Fi",6,Mark L. Lester,35640,15100000
V/H/S/2,2013,96,"Horror, Sci-Fi",6,Simon Barrett,41967,20000
Relic,2020,89,"Drama, Horror, Mystery",6,Natalie Erika James,28230,
Crimes of the Future,2022,107,"Drama, Horror, Sci-Fi",5.9,David Cronenberg,35488,
Orphan: First Kill,2022,99,"Crime, Drama, Horror",5.9,William Brent Bell,40062,
Hostel,2005,94,Horror,5.9,Eli Roth,185172,47330000
Underwater,2020,95,"Action, Horror, Sci-Fi",5.9,William Eubank,88253,17290000
Vivarium,2019,97,"Horror, Mystery, Sci-Fi",5.9,Lorcan Finnegan,64794,
Abraham Lincoln: Vampire Hunter,2012,105,"Action, Fantasy, Horror",5.9,Timur Bekmambetov,158657,37520000
Candyman,2021,91,"Horror, Thriller",5.9,Nia DaCosta,70762,61190000
The Last House on the Left,1972,84,"Crime, Horror, Thriller",5.9,Wes Craven,38780,3100000
The Amityville Horror,2005,90,Horror,5.9,Andrew Douglas,114596,65230000
Annabelle Comes Home,2019,106,"Horror, Mystery, Thriller",5.9,Gary Dauberman,80369,74150000
Final Destination 5,2011,92,"Horror, Thriller",5.9,Steven Quale,120525,42590000
The Grudge,2004,91,"Horror, Mystery, Thriller",5.9,Takashi Shimizu,147865,110360000
Antlers,2021,99,"Drama, Horror, Mystery",5.9,Scott Cooper,41508,
The Void I,2016,90,"Horror, Mystery, Sci-Fi",5.9,Jeremy Gillespie,39049,150000
King Kong,1976,134,"Adventure, Horror",5.9,John Guillermin,34098,52610000
The Fourth Kind,2009,98,"Horror, Mystery, Sci-Fi",5.9,Olatunde Osunsanmi,79762,25460000
The Brothers Grimm,2005,118,"Action, Adventure, Comedy",5.9,Terry Gilliam,123953,37920000
Hide and Seek,2005,101,"Horror, Mystery",5.9,John Polson,87067,51100000
The Possession I,2012,92,"Horror, Mystery, Thriller",5.9,Ole Bornedal,61689,49130000
The Ruins,2008,90,"Adventure, Horror, Thriller",5.9,Carter Smith,77800,17430000
Cam,2018,94,"Drama, Horror, Mystery",5.9,Daniel Goldhaber,34079,
Saw IV,2007,93,"Horror, Mystery, Thriller",5.9,Darren Lynn Bousman,155334,63300000
Child's Play 2,1990,84,"Horror, Thriller",5.9,John Lafia,54569,28500000
Victor Frankenstein,2015,110,"Drama, Horror, Sci-Fi",5.9,Paul McGuigan,58423,5780000
The X Files: I Want to Believe,2008,104,"Crime, Drama, Horror",5.9,Chris Carter,92694,20980000
The Tall Man,2012,106,"Crime, Drama, Horror",5.9,Pascal Laugier,42238,
Quarantine,2008,89,"Horror, Sci-Fi, Thriller",5.9,John Erick Dowdle,75253,31690000
P2,2007,98,"Crime, Horror, Thriller",5.9,Franck Khalfoun,35242,3990000
Pathology,2008,95,"Crime, Horror, Thriller",5.9,Marc Schölermann,32857,110000
The Prodigy,2019,92,"Fantasy, Horror, Mystery",5.9,Nicholas McCarthy,27470,14860000
Old,2021,108,"Drama, Horror, Mystery",5.8,M. Night Shyamalan,138969,48280000
End of Days,1999,122,"Action, Fantasy, Horror",5.8,Peter Hyams,113770,66890000
Army of the Dead,2021,148,"Action, Crime, Drama",5.8,Zack Snyder,178772,1000000
Cannibal Holocaust,1980,95,"Adventure, Horror",5.8,Ruggero Deodato,58322,
I Know What You Did Last Summer,1997,101,"Horror, Mystery",5.8,Jim Gillespie,152273,72590000
Species,1995,108,"Action, Horror, Sci-Fi",5.8,Roger Donaldson,82499,60070000
Carrie,2013,100,"Drama, Horror, Thriller",5.8,Kimberly Peirce,144154,35270000
Splice,2009,104,"Horror, Sci-Fi",5.8,Vincenzo Natali,99872,17000000
Final Destination 3,2006,93,"Horror, Thriller",5.8,James Wong,147716,54100000
High Life,2018,113,"Adventure, Drama, Horror",5.8,Claire Denis,38180,1230000
The Babysitter: Killer Queen,2020,101,"Comedy, Horror",5.8,McG,46011,
Hollow Man,2000,112,"Action, Horror, Sci-Fi",5.8,Paul Verhoeven,134598,73210000
Jaws 2,1978,116,"Adventure, Horror, Thriller",5.8,Jeannot Szwarc,80981,102920000
Blade: Trinity,2004,113,"Action, Horror, Sci-Fi",5.8,David S. Goyer,182834,52410000
The Mortal Instruments: City of Bones,2013,130,"Action, Adventure, Fantasy",5.8,Harald Zwart,136448,31170000
Pride and Prejudice and Zombies,2016,108,"Action, Comedy, Fantasy",5.8,Burr Steers,58473,10910000
Antebellum,2020,105,"Drama, Horror, Mystery",5.8,Gerard Bush,28559,
Lake Placid,1999,82,"Action, Comedy, Horror",5.8,Steve Miner,63404,31770000
The Wolfman,2010,103,"Drama, Fantasy, Horror",5.8,Joe Johnston,108821,61980000
The Texas Chainsaw Massacre: The Beginning,2006,91,"Horror, Thriller",5.8,Jonathan Liebesman,75052,39520000
The Addams Family,2019,86,"Animation, Comedy, Family",5.8,Greg Tiernan,42739,100040000
The Divide,2011,112,"Drama, Horror, Sci-Fi",5.8,Xavier Gens,37690,20000
Eli I,2019,98,"Drama, Horror, Mystery",5.8,Ciarán Foy,38505,
V/H/S,2012,116,Horror,5.8,Matt Bettinelli-Olpin,65385,100000
Morgan,2016,92,"Action, Horror, Sci-Fi",5.8,Luke Scott,44898,3910000
Thinner,1996,93,"Fantasy, Horror",5.8,Tom Holland,32352,15170000
The Haunting in Connecticut,2009,92,"Drama, Horror, Mystery",5.8,Peter Cornwell,63528,55390000
Resident Evil: Afterlife,2010,96,"Action, Horror, Sci-Fi",5.8,Paul W.S. Anderson,175349,60130000
Gothika,2003,98,"Horror, Mystery, Thriller",5.8,Mathieu Kassovitz,116092,59690000
The Relic,1997,110,"Horror, Mystery, Sci-Fi",5.8,Peter Hyams,29056,33960000
Dracula: Dead and Loving It,1995,88,"Comedy, Fantasy, Horror",5.8,Mel Brooks,43600,10770000
Open Water,2003,79,"Adventure, Drama, Horror",5.8,Chris Kentis,55121,30610000
Halloween H20: 20 Years Later,1998,86,"Horror, Thriller",5.8,Steve Miner,78797,55040000
Halloween 4: The Return of Michael Myers,1988,88,"Horror, Thriller",5.8,Dwight H. Little,55673,17770000
Saw V,2008,92,"Horror, Thriller",5.8,David Hackl,128997,56750000
Black Sheep,2006,87,"Comedy, Horror, Sci-Fi",5.8,Jonathan King,41390,80000
Paranormal Activity 3,2011,83,"Horror, Mystery",5.8,Henry Joost,97454,104010000
Cry Wolf,2005,90,"Drama, Horror, Mystery",5.8,Jeff Wadlow,27993,10050000
White Noise I,2022,136,"Comedy, Drama, Horror",5.7,Noah Baumbach,39252,
The Purge I,2013,85,"Horror, Sci-Fi, Thriller",5.7,James DeMonaco,231096,64470000
Escape Room: Tournament of Champions,2021,88,"Action, Adventure, Horror",5.7,Adam Robitel,52337,25190000
Insidious: The Last Key,2018,103,"Horror, Mystery, Thriller",5.7,Adam Robitel,64055,67750000
Buffy the Vampire Slayer,1992,86,"Action, Comedy, Fantasy",5.7,Fran Rubel Kuzui,47048,16620000
Underworld: Blood Wars,2016,91,"Action, Adventure, Fantasy",5.7,Anna Foerster,78499,30350000
The Rental,2020,88,"Drama, Horror, Mystery",5.7,Dave Franco,35194,
Jigsaw I,2017,92,"Horror, Mystery, Thriller",5.7,Michael Spierig,83738,38050000
Freddy vs. Jason,2003,97,"Action, Horror",5.7,Ronny Yu,123003,82620000
Cooties,2014,88,"Action, Comedy, Horror",5.7,Jonathan Milott,27279,60000
I Spit on Your Grave 2,2013,106,"Horror, Thriller",5.7,Steven R. Monroe,31209,
Pet Sematary,2019,101,"Horror, Mystery, Thriller",5.7,Kevin Kölsch,94828,54720000
Priest,2011,87,"Action, Fantasy, Horror",5.7,Scott Stewart,121940,29140000
Velvet Buzzsaw,2019,113,"Horror, Mystery, Thriller",5.7,Dan Gilroy,63837,
Would You Rather,2012,93,"Horror, Thriller",5.7,David Guy Levy,43247,
Rubber,2010,82,"Comedy, Fantasy, Horror",5.7,Quentin Dupieux,38724,100000
Child's Play,2019,90,"Drama, Horror, Sci-Fi",5.7,Lars Klevberg,54170,29210000
Devil's Pass,2013,100,"Horror, Mystery, Thriller",5.7,Renny Harlin,26283,
Clown,2014,100,"Horror, Thriller",5.7,Jon Watts,25286,60000
Paranormal Activity 2,2010,91,"Horror, Mystery",5.7,Tod Williams,107097,84750000
The Descent: Part 2,2009,94,"Adventure, Horror, Thriller",5.7,Jon Harris,49297,
The Last Exorcism,2010,87,"Horror, Mystery, Thriller",5.7,Daniel Stamm,50953,41030000
Honeymoon,2014,87,"Drama, Fantasy, Horror",5.7,Leigh Janiak,26685,10000
The Bay II,2012,84,"Horror, Sci-Fi, Thriller",5.7,Barry Levinson,28565,30000
Bhool Bhulaiyaa 2,2022,143,"Comedy, Drama, Horror",5.7,Anees Bazmee,32061,
Terrifier,2016,85,"Horror, Thriller",5.6,Damien Leone,42712,
The Meg,2018,113,"Action, Horror, Sci-Fi",5.6,Jon Turteltaub,181197,143010000
Beast I,2022,93,"Action, Adventure, Drama",5.6,Baltasar Kormákur,34598,31850000
Ghost Ship,2002,91,"Horror, Mystery, Thriller",5.6,Steve Beck,104944,30110000
Scream 3,2000,116,"Horror, Mystery",5.6,Wes Craven,155289,89140000
Urban Legend,1998,99,"Horror, Mystery, Thriller",5.6,Jamie Blanks,68975,38070000
Thir13en Ghosts,2001,91,"Fantasy, Horror",5.6,Steve Beck,90122,41870000
Children of the Corn,1984,92,"Horror, Thriller",5.6,Fritz Kiersch,54851,14570000
47 Meters Down,2017,89,"Adventure, Drama, Horror",5.6,Johannes Roberts,58160,44310000
I Spit on Your Grave,1978,101,"Horror, Thriller",5.6,Meir Zarchi,29806,
Pacific Rim: Uprising,2018,111,"Action, Adventure, Fantasy",5.6,Steven S. DeKnight,121533,59870000
